,id,date_,x,y,tech,cap,height,azimuth,spd,trf,subs
50,5793371,2016-04-11,-200.0,-2800.0,5,3.25,25.97,70.0,7.230265363,1.36699,285.0754297
51,5793371,2016-05-12,-200.0,-2800.0,5,3.25,25.97,70.0,7.465470081,0.91653,188.6136701
52,5793371,2016-06-13,-200.0,-2800.0,5,3.25,25.97,70.0,1.191808243,0.74705,93.74819016
53,5793371,2016-07-14,-200.0,-2800.0,5,3.25,25.97,70.0,7.808309382,0.45492,24.92536569
54,5793371,2016-08-15,-200.0,-2800.0,5,3.25,25.97,70.0,9.793432491,0.32112,74.31619453
55,5793371,2016-08-29,-200.0,-2800.0,5,3.25,25.97,70.0,0.845880562,0.68684,13.98993158
56,5793371,2016-09-16,-200.0,-2800.0,5,3.25,25.97,70.0,11.84974061,0.71583,345.0770719
57,5793371,2016-10-03,-200.0,-2800.0,5,3.25,25.97,70.0,8.023077262,0.47945,283.9800282
58,5793371,2016-01-29,-200.0,-2800.0,5,3.25,25.97,70.0,3.971931239,3.2335,233.0682802
59,5793371,2016-03-09,-200.0,-2800.0,5,3.25,25.97,70.0,15.96423654,1.52978,401.9437394
60,5793371,2016-04-10,-200.0,-2800.0,5,3.25,25.97,70.0,6.696650972,0.61102,55.8664639
61,5793371,2016-05-11,-200.0,-2800.0,5,3.25,25.97,70.0,9.074323693,0.38356,46.48508286
62,5793371,2016-06-12,-200.0,-2800.0,5,3.25,25.97,70.0,3.913582621,0.27206,35.99887729
63,5793371,2016-07-13,-200.0,-2800.0,5,3.25,25.97,70.0,5.77326888,0.76489,157.2145209
64,5793371,2016-08-14,-200.0,-2800.0,5,3.25,25.97,70.0,4.079634981,0.45938,42.89263153
65,5793371,2016-09-15,-200.0,-2800.0,5,3.25,25.97,70.0,2.279968118,0.30105,12.96831441
66,5793371,2016-09-29,-200.0,-2800.0,5,3.25,25.97,70.0,9.427279443,0.81841,22.98198962
67,5793371,2016-10-02,-200.0,-2800.0,5,3.25,25.97,70.0,3.294047429,0.31666,13.0412569
68,5793371,2016-02-01,-200.0,-2800.0,5,3.25,25.97,70.0,5.513753818,2.09174,224.9901762
69,5793371,2016-03-01,-200.0,-2800.0,5,3.25,25.97,70.0,5.919012477,1.89327,332.8121688
70,5793371,2016-04-02,-200.0,-2800.0,5,3.25,25.97,70.0,5.468412374,2.22331,57.19082928
71,5793371,2016-05-03,-200.0,-2800.0,5,3.25,25.97,70.0,1.751618911,1.05702,17.76896286
72,5793371,2016-06-04,-200.0,-2800.0,5,3.25,25.97,70.0,7.476972656,0.92991,185.3449347
73,5793371,2016-07-05,-200.0,-2800.0,5,3.25,25.97,70.0,6.454677063,0.16056,42.47891569
74,5793371,2016-07-19,-200.0,-2800.0,5,3.25,25.97,70.0,1.831269627,1.01911,11.33806682
75,5793371,2016-08-06,-200.0,-2800.0,5,3.25,25.97,70.0,6.039805928,0.49952,214.7598476
76,5793371,2016-08-20,-200.0,-2800.0,5,3.25,25.97,70.0,4.716071824,0.21408,40.25502849
77,5793371,2016-09-07,-200.0,-2800.0,5,3.25,25.97,70.0,2.380153473,2.23892,34.50859547
78,5793371,2016-09-21,-200.0,-2800.0,5,3.25,25.97,70.0,2.033852228,0.26314,51.86134315
79,5793371,2016-05-09,-200.0,-2800.0,5,3.25,25.97,70.0,5.050575746,1.08155,541.0821538
80,5793371,2016-06-10,-200.0,-2800.0,5,3.25,25.97,70.0,9.514559585,0.65562,183.1406541
81,5793371,2016-07-11,-200.0,-2800.0,5,3.25,25.97,70.0,2.071611415,0.39917,5.399916172
82,5793371,2016-08-12,-200.0,-2800.0,5,3.25,25.97,70.0,5.732021144,0.47499,86.8319943
83,5793371,2016-09-13,-200.0,-2800.0,5,3.25,25.97,70.0,6.739152934,0.16948,60.48969841
84,5793371,2016-09-30,-200.0,-2800.0,5,3.25,25.97,70.0,2.016178888,0.38802,9.022241592
85,5793371,2016-06-09,-200.0,-2800.0,5,3.25,25.97,70.0,6.388293903,0.51736,274.8193576
86,5793371,2016-07-10,-200.0,-2800.0,5,3.25,25.97,70.0,4.24277319,0.34119,203.7334616
87,5793371,2016-08-11,-200.0,-2800.0,5,3.25,25.97,70.0,4.30861707,0.12934,11.54078364
88,5793371,2016-09-12,-200.0,-2800.0,5,3.25,25.97,70.0,3.383209111,0.5575,15.57232976
89,5793371,2016-10-31,-200.0,-2800.0,5,3.25,25.97,70.0,11.12010054,1.61675,179.101547
90,5793371,2016-07-09,-200.0,-2800.0,5,3.25,25.97,70.0,5.723845739,0.99012,154.3797531
91,5793371,2016-08-10,-200.0,-2800.0,5,3.25,25.97,70.0,8.914235637,0.16056,76.94078946
92,5793371,2016-09-11,-200.0,-2800.0,5,3.25,25.97,70.0,6.31422513,0.45269,59.0654695
93,5793371,2016-06-30,-200.0,-2800.0,5,3.25,25.97,70.0,1.732916642,0.12934,4.98192811
94,5793371,2016-08-01,-200.0,-2800.0,5,3.25,25.97,70.0,9.0324328,0.62663,194.4212124
95,5793371,2016-09-02,-200.0,-2800.0,5,3.25,25.97,70.0,4.047847756,0.61102,122.0791886
96,5793371,2016-08-09,-200.0,-2800.0,5,3.25,25.97,70.0,12.28360732,0.51736,391.1476469
97,5793371,2016-09-10,-200.0,-2800.0,5,3.25,25.97,70.0,5.154391084,0.7582,16.55068445
98,5793371,2016-08-31,-200.0,-2800.0,5,3.25,25.97,70.0,6.880308466,0.59764,307.6241415
99,5793371,2016-01-09,-200.0,-2800.0,5,3.25,25.97,70.0,6.176380097,3.68842,398.5048993
100,5793371,2016-01-23,-200.0,-2800.0,5,3.25,25.97,70.0,4.524874136,3.53455,305.7952394
101,5793371,2016-02-24,-200.0,-2800.0,5,3.25,25.97,70.0,6.272052653,2.63586,375.8900034
102,5793371,2016-03-24,-200.0,-2800.0,5,3.25,25.97,70.0,11.12819014,1.10608,354.45224
103,5793371,2016-04-25,-200.0,-2800.0,5,3.25,25.97,70.0,6.625124522,0.61325,37.18681741
104,5793371,2016-05-26,-200.0,-2800.0,5,3.25,25.97,70.0,9.981194628,0.14941,57.1521275
105,5793371,2016-06-27,-200.0,-2800.0,5,3.25,25.97,70.0,0.672820922,0.14941,4.16475606
106,5793371,2016-07-28,-200.0,-2800.0,5,3.25,25.97,70.0,7.233621417,0.28544,116.6278772
107,5793371,2016-10-17,-200.0,-2800.0,5,3.25,25.97,70.0,1.729537776,1.21312,11.32985544
108,5793371,2016-03-31,-200.0,-2800.0,5,3.25,25.97,70.0,11.38372228,2.12742,260.2273102
109,5793371,2016-05-01,-200.0,-2800.0,5,3.25,25.97,70.0,10.78065163,0.47945,50.50933552
110,5793371,2016-06-02,-200.0,-2800.0,5,3.25,25.97,70.0,10.1332223,0.446,241.5525784
111,5793371,2016-07-03,-200.0,-2800.0,5,3.25,25.97,70.0,7.167749872,0.15387,99.7671144
112,5793371,2016-08-04,-200.0,-2800.0,5,3.25,25.97,70.0,6.92133135,0.5798,71.37313676
113,5793371,2016-09-05,-200.0,-2800.0,5,3.25,25.97,70.0,6.274207001,0.47945,129.9380507
